On	block	Tr	0	0	0   fe	0	0	rad	2	1	1
On	block	Tr	0	0	0	fe	0	0	rad	1	1	1
On	block	Tr	0	0	0  fe	0	0	rad	1	1	1
On	block	Tr	0	0	0	fe	0	0	rad	1	1	1
On	block	Tr	0	0	0	fe	0	0	rad	1	1	1
On	block	Tr	0	0	0	fe	0	0	rad	1	1	1
On	block	Tr	0	0	0	fe	0	0	rad	1	1	1
On	block	Tr	1	1	0	fe	1	0	rad	1	1	1
On	block	Tr	2	1	0	fe	0	2	rad	1	1	1
On	block	Tr	-1	1	0	fe	0	0	rad	1	1	1
On	block	Tr	-2	1	0	fe	0	0	rad	1	1	1
On	block	Tr	1	1	0	fe	0	0	rad	1	1	1
On	block	Tr	1	1	0	fe	0	0	rad	1	1	1
On	block	Tr	1	1	0	fe	0	0	rad	1	1	1
On	block	Tr	1	1	0	fe	0	0	rad	1	1	1
On	block	Tr	1	1	0	fe	0	0	rad	1	1	1
On	block	Tr	1	1	0	fe	0	0	rad	1	1	1
On	block	Tr	2	1	0	fe	0	0	rad	1	1	1
